song,2017-01-01,2017-01-08,2017-01-15,2017-01-22,2017-01-29,2017-02-05,2017-02-12,2017-02-19,2017-02-26,2017-03-05,2017-03-12,2017-03-19,2017-03-26,2017-04-02,2017-04-09,2017-04-16,2017-04-23,2017-04-30,2017-05-07,2017-05-14,2017-05-21,2017-06-11,2017-06-18,2017-06-25,2017-07-02,2017-07-09,2017-07-16,2017-07-23,2017-07-30,2017-08-06,2017-08-13,2017-08-20,2017-08-27,2017-09-03,2017-09-10,2017-09-17,2017-09-24,2017-10-01,2017-10-08,2017-10-15,2017-10-22,2017-10-29,2017-11-05,2017-11-12,2017-11-19,2017-11-26,2017-12-03,2017-12-10,2017-12-17,2017-12-24,2017-12-31,2018-01-07,2018-01-14,2018-01-21,2018-01-28,2018-02-04,2018-02-11,2018-02-18,2018-02-25,2018-03-04,2018-03-11,2018-03-18,2018-03-25,2018-04-01,2018-04-08,2018-04-15,2018-04-22,2018-04-29,2018-05-06,2018-05-13,2018-05-20,2018-05-27,2018-06-03,2018-06-10,2018-06-17,2018-06-24,2018-07-01,2018-07-08,2018-07-15,2018-07-22,2018-07-29,2018-08-05,2018-08-12,2018-08-19,2018-08-26,2018-09-02,2018-09-09,2018-09-16,2018-09-23,2018-09-30,2018-10-07,2018-10-14,2018-10-21,2018-10-28,2018-11-04,2018-11-11,2018-11-18,2018-11-25,2018-12-02,2018-12-09,2018-12-16,2018-12-23,2018-12-30,2019-01-06,2019-01-13,2019-01-20,2019-01-27,2019-02-03,2019-02-10,2019-02-17,2019-02-24,2019-03-03,2019-03-10,2019-03-17,2019-03-24,2019-03-31,2019-04-07,2019-04-14,2019-04-21,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-08-04,2019-08-11,2019-08-18,2019-08-25,2019-09-01,2019-09-08,2019-09-15,2019-09-22,2019-09-29,2019-10-06
The Middle - Zedd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12200748,14867889,16235510,17897973,19916996,20963966,22125746,21344284,21629499,20248458,20218662,20689523,20351977,18098441,18226691,17227224,16192162,14647713,13088776,12433737,11360627,10984795,9741767,10143481,10326488,10094041,9495219,8657541,8085945,7538065,7218145,6624760,6285143,6269717,6451652,6381549,6386347,6429462,6230758,6053441,5975044,6100759,5794664,5424472,5466183,6479576,5804100,5207214,6561800,6024466,6152217,5803287,5681354,5632725,5657521,5486476,5378586,5352769,5329511,5328689,5268676,5170739,5012547,5111318,5073315,5049701,5102781,4977797,5013496,5114405,4884656,4962169,4877275,4919546,4848282,4677633,4762302,4646031,4479353,4479942,4418682,4419337,0,0,0,0,0,0,0
Moonlight - XXXTENTACION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16547753,15060726,11891884,10497057,9740193,8680094,7551718,6864119,6110604,5477467,5053613,4828958,4888336,21727494,27497557,20842040,19069421,18124958,17063239,16028206,14288725,13920170,13552871,13551695,13072084,12812466,12540535,12067632,13667690,15501045,14781290,14166069,13489205,12206688,12030329,11668910,11124702,11002083,11821044,10991024,10182038,10148769,10195921,10313053,10351258,10299040,9590378,8803736,8661051,8372074,8220080,7967868,7705725,7503121,7284579,6983696,6892080,6545280,6307659,6282859,6252547,6189168,6183726,5962418,5888483,6295346,6042649,5831760,5533297,5445400,5268846,5075179,4979880,4913336,4806495,4776702,4826988,5225139,5021188,5077762,5147163,5052915
Fuck Love (feat. Trippie Redd) - XXXTENTACION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10302103,10173349,9831288,8493439,7448892,6606878,6242738,6070561,5939029,5553268,5678656,5699533,5692891,5439056,5460388,5209150,5025219,4500524,4439642,4771271,4947656,4774574,4639901,4567202,4570678,4442908,4478435,4733401,4602275,5081395,5200673,4748327,4613474,4607600,4533268,4510769,4398557,4138867,3970794,0,0,0,16074854,16680157,11229046,9789519,8705922,8453694,8237887,7693673,7609957,7668435,7862715,7742187,7829647,7839665,7704727,7530870,7465494,7278559,7149576,7050411,6817520,6787238,6661056,6316837,6271564,6943868,6293713,5638922,5323299,5478008,5645351,5624912,5589311,5315867,5174558,5056406,4831134,4733110,4663204,4539023,0,4461589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psycho (feat. Ty Dolla $ign) - Post Malone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45142484,37497635,33112210,31615651,31221103,28146377,27252126,27236788,26119695,37992220,28143674,23868633,20831433,18658896,18005668,17092203,15562733,14580636,12800846,12282080,12015987,11646559,11160026,10299471,10305869,10081399,9893133,8993514,8432164,8172513,7840445,7467492,7546675,7753775,7608239,7352801,6945240,6578235,6590849,6265732,6450355,7763023,7310068,6923105,7626887,7478237,7348086,6940641,6790243,6642342,6564749,6593205,6475454,6367388,6358035,6285861,6262917,6182251,6221107,5936047,5633813,5555089,5582919,5364564,5278861,5190317,5030441,4900102,4807221,4674360,4601095,4822623,4621825,4527271,4413389,4363070,4390218,4334449,0,4654794,4573226,0,0,0,0
IDGAF - Dua Lipa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4847913,7484060,13574219,17952837,20023931,20675939,20556701,21322467,23715748,23506139,23266286,22298666,22504143,20566362,20529481,20008796,16947889,15081015,14983344,13674838,13325907,13388343,12543530,11563915,10251007,9937829,9572783,9474052,8844454,8083800,7947209,7780651,7411696,7522966,7211897,6959277,6901226,6880881,6802635,6629607,6609561,6601369,6714350,6548272,6624313,6641570,6496034,6186330,6357239,7336571,6845477,6057938,6869918,6801258,6787896,6356736,6231356,6035746,6340520,6276469,6042164,5664626,5656428,5482294,5464760,5324401,5151166,5112543,4873197,4838820,4904996,5099930,5064450,5105535,4944201,4836444,4467009,4421926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Youngblood - 5 Seconds of Summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5451577,7409615,8101729,8900943,10893080,12226438,14429784,17167294,19124843,22841733,20287241,17601109,18936010,20894857,20078198,18504220,17399630,16833475,16322527,15544430,14198872,13585841,12534601,11956382,11525820,11148237,11597926,11071781,10536296,10506042,10200338,10090811,9509006,8977855,9480209,8860994,8107855,9362217,9450998,9802761,9187834,8609378,8706752,8510016,8225661,8099723,7751364,7720331,7769773,7668316,7456388,7220752,6816313,6730253,6595733,6534550,6437015,6466223,6836474,6475240,6339796,6330378,6120189,6167364,6182766,6299287,6116269,5900151,5849297,5739284,5773569,5470935,5883185,5848124,5748442,5697268,5610647,5452343
That's What I Like - Bruno Mars,3144929,3207382,3236661,3697638,3956607,4659442,8361576,13283582,15755977,19566959,21586561,21530284,22697986,23454899,23631979,21981107,21645304,21377606,21286479,20485100,19793846,15960710,15070436,14089908,13701378,12561558,11507724,10842608,10374656,10012386,9737309,9230883,7800764,6939741,6443094,6276917,6045787,5620842,5442462,5434682,5383181,5043635,4860422,4820108,4993533,4954008,5249730,5543681,5339751,5221431,5733866,5614991,5366347,5156917,5819258,5420023,5160955,4907416,4735904,4582722,4498466,4375534,4425557,4175041,4166877,4192569,0,4099741,4187543,4048667,3946959,0,0,0,0,3868864,4370977,3946020,4002716,3855409,3825016,3794083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002 - Anne-Marie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8455286,8899988,9102002,9568392,10112156,10881158,12111825,12981088,12044001,12291560,11389532,11653916,12993637,13698716,12967898,12173651,11630675,11132094,10553474,8862448,7812846,7563249,7896793,7767848,7653450,7656163,7722234,7652352,7714436,7472507,7249117,6965223,6923692,7015934,6817247,6177519,7156375,7401219,7331201,7447419,7526138,7463097,7472140,7607409,7507413,7122572,7457911,7195698,7113548,6910268,6463747,6338343,6241836,6090231,6135088,6080967,6058942,5967329,5681273,5740883,5680060,5596913,5659285,5432939,5577964,5469566,5306432,5384474,5266076,5351852,4857004,5325514,5399983,5267238,5225717,5190474,4988058
Location - Khalid,0,0,0,0,0,3030830,3375409,3587802,3721007,5703198,7365952,8029777,9360346,10817800,10956272,10631442,11085355,10921212,10641099,10775877,10766647,10389758,10121160,10010895,10312884,10311676,9917884,9247517,9501669,9372779,9323154,8114608,8032317,7862008,7476822,7383683,7193141,7070931,6935128,6810249,6723456,6357873,6360103,6309999,6253740,5960231,6235566,6303774,5892937,5315462,5612166,5771024,5920887,6234145,6594659,6038766,5866932,5795699,5710770,5567327,5341713,5345339,5193700,4915167,4898116,4832515,4838860,4671356,4750822,4591452,4485493,4480623,4364501,4200398,3922084,3935635,4249271,3923893,0,0,3827877,0,0,0,0,0,0,0,3947085,0,0,3943474,4188485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rockstar (feat. 21 Savage) - Post Malone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26920146,20577580,18008781,16159366,15082355,14539492,14123079,12895167,12526502,11925771,11859030,11617067,11285732,10895359,10259896,10371883,10538947,10519144,9621200,9370893,9561080,9770813,9212384,9350441,10040995,9744333,9976244,9374034,8724813,8744876,8427933,8530354,9395108,9239085,8904945,10738196,10356940,10262453,9956213,9628244,9318770,9311605,9162382,8888175,8783100,8730143,8568497,8535641,8447496,8540428,8246143,7893957,7742673,7668301,7467248,7660794,7508148,7632665,7778467,7589617,7223398,7203126,7455408,7351107,7147203,7183382,6985952,6970640,6931267,7033909,7314501,7616911,6974072,6958864,6989421,6839903
